"ID","answer","VF","blur","meanAcc","meanRT"
1919018,"non-word","Left","blur",0.95,610.318750000442
1919018,"non-word","Left","no blur",0.75,624.409249999007
1919018,"non-word","Right","blur",0.9,614.429250000831
1919018,"non-word","Right","no blur",0.7,592.392499998095
1919018,"word","Left","blur",0.8,601.947750001273
1919018,"word","Left","no blur",0.9,564.636499997869
1919018,"word","Right","blur",0.9,598.114250001527
1919018,"word","Right","no blur",0.95,551.900749999913
1926893,"non-word","Left","blur",0.6,697.766750003211
1926893,"non-word","Left","no blur",0.9,656.437250017188
1926893,"non-word","Right","blur",0.95,641.300250007771
1926893,"non-word","Right","no blur",0.95,638.989249977749
1926893,"word","Left","blur",0.95,608.246500010137
1926893,"word","Left","no blur",0.9,587.494750029873
1926893,"word","Right","blur",0.85,650.381499959622
1926893,"word","Right","no blur",0.85,624.663000018336
1927566,"non-word","Left","blur",0.85,613.14500000017
1927566,"non-word","Left","no blur",0.9,576.872500000036
1927566,"non-word","Right","blur",0.9,554.532250000013
1927566,"non-word","Right","no blur",0.9,552.462000000021
1927566,"word","Left","blur",0.75,502.649999999813
1927566,"word","Left","no blur",0.85,517.323500000017
1927566,"word","Right","blur",0.65,718.537250000019
1927566,"word","Right","no blur",0.9,508.324000000001
1928495,"non-word","Left","blur",0.9,556.217749999627
1928495,"non-word","Left","no blur",0.95,531.777750000219
1928495,"non-word","Right","blur",0.95,527.643499999799
1928495,"non-word","Right","no blur",0.85,505.407249999554
1928495,"word","Left","blur",0.75,539.70174999958
1928495,"word","Left","no blur",0.9,509.480000000076
1928495,"word","Right","blur",0.85,522.108249999292
1928495,"word","Right","no blur",0.95,520.819249999656
1928498,"non-word","Left","blur",0.85,791.390250003315
1928498,"non-word","Left","no blur",0.95,702.022749994649
1928498,"non-word","Right","blur",0.95,670.663499998045
1928498,"non-word","Right","no blur",1,635.75074999826
1928498,"word","Left","blur",0.95,713.659500001813
1928498,"word","Left","no blur",1,728.006249995087
1928498,"word","Right","blur",0.95,598.40700000932
1928498,"word","Right","no blur",1,628.483499999857
